eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity
2014-01-29,2014-02-03,2014-03-03,1.0,0,1.0,0.0025,0.0016666666666666668,-0.0008374999999999355,0,0,0.9991625000000001
2014-02-28,2014-03-03,2014-04-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0008277708333335
2014-03-31,2014-04-01,2014-05-02,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0024958171180558
2014-04-30,2014-05-02,2014-06-02,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0041666434799192
2014-05-30,2014-06-02,2014-07-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.005840254552386
2014-06-30,2014-07-01,2014-08-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.00751665497664
2014-07-31,2014-08-01,2014-09-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.009195849401601
2014-08-29,2014-09-01,2014-10-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0108778424839369
2014-09-30,2014-10-01,2014-11-03,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0125626388880768
2014-10-31,2014-11-03,2014-12-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0142502432862237
2014-11-28,2014-12-01,2015-01-02,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0159406603583674
2014-12-30,2015-01-02,2015-02-02,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.017633894792298
2015-01-30,2015-02-02,2015-03-02,1.0,20,2.0,0.005,0.03486131570747002,0.029687009128932518,20,0,1.0478444015169082
2015-02-27,2015-03-02,2015-04-01,1.0,20,0.4,0.001,0.06078082951719148,0.05972004868767433,4,4,1.110421720192605
2015-03-31,2015-04-01,2015-05-04,1.0,20,0.30000000000000004,0.0007500000000000001,0.06744049233174494,0.06663991196249608,3,3,1.1844201258674836
2015-04-30,2015-05-04,2015-06-01,1.0,20,0.6000000000000001,0.0015000000000000002,0.11437802938059431,0.11270646233652348,6,6,1.3179119281741876
2015-05-29,2015-06-01,2015-07-01,1.0,20,0.4,0.001,0.10196432719007062,0.10086236286288042,4,4,1.450839639295011
