eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity
2000-01-07,2000-01-07,2000-01-14,1.0,1,1.0,0.0025,0.016427712121804827,0.013886642841500318,1,0,1.0138866428415003
2000-01-14,2000-01-14,2000-01-21,1.0,1,0.0,0.0,-0.01623727172377043,-0.01623727172377043,0,0,0.9974238899245815
2000-01-21,2000-01-21,2000-01-28,1.0,1,0.0,0.0,-0.05633564966219695,-0.05633564966219695,0,0,0.9412333670970846
2000-01-28,2000-01-28,2000-02-04,1.0,1,0.0,0.0,0.047207651543904605,0.047207651543904605,0,0,0.9856667839124998
2000-02-04,2000-02-04,2000-02-11,1.0,1,0.0,0.0,-0.02615191286512275,-0.02615191286512275,0,0,0.9598897120655744
2000-02-11,2000-02-11,2000-02-18,1.0,1,0.0,0.0,-0.0295792933857959,-0.0295792933857959,0,0,0.9314968526543796
2000-02-18,2000-02-18,2000-02-25,1.0,1,0.0,0.0,-0.009457005692032117,-0.009457005692032117,0,0,0.9226876816167172
2000-02-25,2000-02-25,2000-03-03,1.0,1,0.0,0.0,0.056856407441806756,0.056856407441806756,0,0,0.9751483883842533
2000-03-03,2000-03-03,2000-03-10,1.0,1,0.0,0.0,-0.010005958980488505,-0.010005958980488505,0,0,0.965391093610191
2000-03-10,2000-03-10,2000-03-17,1.0,1,0.0,0.0,0.04974662711261835,0.04974662711261835,0,0,1.01341604436186
2000-03-17,2000-03-17,2000-03-24,1.0,1,0.0,0.0,0.04301214193154945,0.04301214193154945,0,0,1.0570052390976619
2000-03-24,2000-03-24,2000-03-31,1.0,1,0.0,0.0,-0.018907209106212464,-0.018907209106212464,0,0,1.0370202200156802
2000-03-31,2000-03-31,2000-04-07,1.0,1,0.0,0.0,0.011857905518790623,0.011857905518790623,0,0,1.0493171078057015
2000-04-07,2000-04-07,2000-04-14,1.0,1,0.0,0.0,-0.10537799292042893,-0.10537799292042893,0,0,0.9387421770480674
2000-04-14,2000-04-14,2000-04-20,1.0,1,0.0,0.0,0.057483618196444874,0.057483618196444874,0,0,0.992704473938398
2000-04-20,2000-04-20,2000-04-28,1.0,1,0.0,0.0,0.012470906465691156,0.012470906465691156,0,0,1.005084398580957
2000-04-28,2000-04-28,2000-05-05,1.0,1,0.0,0.0,-0.01363235962897913,-0.01363235962897913,0,0,0.9913827266020252
2000-05-05,2000-05-05,2000-05-12,1.0,1,0.0,0.0,-0.008145888265314594,-0.008145888265314594,0,0,0.9833070336829621
2000-05-12,2000-05-12,2000-05-19,1.0,1,0.0,0.0,-0.009859538727876371,-0.009859538727876371,0,0,0.9736120799029717
2000-05-19,2000-05-19,2000-05-26,1.0,1,0.0,0.0,-0.020562161160408543,-0.020562161160408543,0,0,0.9535925114082863
2000-05-26,2000-05-26,2000-06-02,1.0,1,0.0,0.0,0.07201636320794003,0.07201636320794003,0,0,1.022266776062237
2000-06-02,2000-06-02,2000-06-09,1.0,1,0.0,0.0,-0.013748465713203983,-0.013748465713203983,0,0,1.0082121763417977
