eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity
2014-01-29,2014-02-03,2014-03-03,1.0,0,1.0,0.0025,0.0016666666666666668,-0.0008374999999999355,0,0,0.9991625000000001
2014-02-28,2014-03-03,2014-04-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0008277708333335
2014-03-31,2014-04-01,2014-05-02,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0024958171180558
2014-04-30,2014-05-02,2014-06-02,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0041666434799192
2014-05-30,2014-06-02,2014-07-01,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.005840254552386
2014-06-30,2014-07-01,2014-08-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.00751665497664
2014-07-31,2014-08-01,2014-09-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.009195849401601
2014-08-29,2014-09-01,2014-10-01,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0108778424839369
2014-09-30,2014-10-01,2014-11-03,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0125626388880768
2014-10-31,2014-11-03,2014-12-01,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0142502432862237
2014-11-28,2014-12-01,2015-01-02,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0159406603583674
2014-12-30,2015-01-02,2015-02-02,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.017633894792298
2015-01-30,2015-02-02,2015-03-02,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0193299512836185
2015-02-27,2015-03-02,2015-04-01,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0210288345357579
2015-03-31,2015-04-01,2015-05-04,1.0,15,2.0,0.005,0.041779487653369834,0.036570590215103005,15,0,1.0583684616413693
2015-04-30,2015-05-04,2015-06-01,1.0,15,0.8,0.002,0.09964221929494241,0.09744293485635258,6,6,1.1614989907031075
2015-05-29,2015-06-01,2015-07-01,1.0,15,0.26666666666666666,0.0006666666666666666,0.062090878507993025,0.06138281792232103,2,2,1.232795071766396
